"chrom","start","end","label","genomeScore"
"chrX",48603496,48603916,"non_Functional",1.01694123438004e-06
"chrX",48603917,48605144,"non_Functional",3.51568333397619e-06
"chrX",48605145,48605564,"non_Functional",4.55726009724971e-05
"chrX",48605565,48605668,"non_Functional",9.22959022032725e-06
"chrX",48605669,48605815,"non_Functional",6.86065393908277e-12
"chrX",48605816,48605957,"non_Functional",1.50007992898896e-15
"chrX",48605958,48606075,"non_Functional",1.41691622551404e-16
"chrX",48606076,48606186,"non_Functional",1.10208929258823e-15
"chrX",48606187,48606294,"non_Functional",1.73074339666318e-13
"chrX",48606295,48606635,"non_Functional",5.448896753206e-11
"chrX",48606636,48606803,"non_Functional",1.14093480563502e-09
"chrX",48606804,48607019,"non_Functional",7.62554012251037e-09
"chrX",48607020,48607138,"non_Functional",9.77376362025803e-12
"chrX",48607139,48607267,"non_Functional",6.63724212340755e-11
"chrX",48607268,48607439,"non_Functional",1.42840459714426e-09
"chrX",48607440,48607553,"non_Functional",2.53021701737688e-09
"chrX",48607554,48607872,"non_Functional",1.18393599607853e-07
"chrX",48607873,48607973,"non_Functional",3.2066515249658e-07
"chrX",48607974,48609630,"non_Functional",3.54806959258265e-05
"chrX",48609631,48609951,"non_Functional",0.000210205896546366
"chrX",48609952,48610091,"non_Functional",3.6107642110148e-09
"chrX",48610092,48610201,"non_Functional",3.3339993121485e-10
"chrX",48610202,48610336,"non_Functional",2.12151180737501e-10
"chrX",48610337,48610511,"non_Functional",4.34563050252701e-13
"chrX",48610512,48610621,"non_Functional",1.09338940044209e-09
"chrX",48610622,48610728,"non_Functional",4.39184874351324e-15
"chrX",48610729,48610971,"non_Functional",2.89944460888747e-15
"chrX",48610972,48611081,"non_Functional",2.88711628006107e-16
"chrX",48611082,48611208,"non_Functional",1.16229735116386e-12
"chrX",48611209,48611391,"non_Functional",9.19371640169015e-09
"chrX",48611392,48611535,"non_Functional",5.56037276477369e-07
"chrX",48611536,48611697,"non_Functional",2.94005227823581e-08
"chrX",48611698,48611930,"non_Functional",3.15025041288926e-11
"chrX",48611931,48612044,"non_Functional",3.18514575913395e-13
"chrX",48612045,48612148,"non_Functional",8.70245223348531e-12
"chrX",48612149,48612287,"non_Functional",3.33502731587064e-14
"chrX",48612288,48612442,"non_Functional",2.51254646344519e-18
"chrX",48612443,48612568,"non_Functional",7.49602446555991e-19
"chrX",48612569,48612676,"non_Functional",1.42771760375789e-17
"chrX",48612677,48612782,"non_Functional",2.81389117366815e-20
"chrX",48612783,48612884,"non_Functional",1.79673963371546e-20
"chrX",48612885,48612988,"non_Functional",1.4528951158364e-18
"chrX",48612989,48613096,"non_Functional",1.13850523107544e-16
"chrX",48613097,48613202,"non_Functional",5.38538913706502e-16
"chrX",48613203,48613396,"non_Functional",3.75013937487415e-12
"chrX",48613397,48613554,"non_Functional",8.52935770669297e-09
"chrX",48613555,48613697,"non_Functional",1.98080564437088e-10
"chrX",48613698,48613816,"non_Functional",4.3890449037085e-09
"chrX",48613817,48613974,"non_Functional",1.58908031466147e-08
"chrX",48613975,48614117,"non_Functional",6.93360481870475e-07
"chrX",48614118,48614231,"non_Functional",2.96312934998669e-06
"chrX",48614232,48614374,"non_Functional",8.26846038916397e-07
"chrX",48614375,48614515,"non_Functional",1.73070950873159e-08
"chrX",48614516,48614618,"non_Functional",4.10549418652201e-10
"chrX",48614619,48614794,"non_Functional",3.32424075673113e-10
"chrX",48614795,48614935,"non_Functional",5.58939339206716e-08
"chrX",48614936,48615050,"non_Functional",8.53904302316966e-07
"chrX",48615051,48615229,"non_Functional",2.51932170946807e-05
"chrX",48615931,48616350,"non_Functional",1.21973392124577e-05
"chrX",48616351,48616479,"non_Functional",1.35450372028459e-05
"chrX",48616480,48616773,"non_Functional",9.88655733709792e-06
"chrX",48616774,48616899,"non_Functional",1.71882610524936e-06
"chrX",48616900,48617015,"non_Functional",4.32661439532796e-06
"chrX",48617016,48617193,"non_Functional",7.18387831625535e-09
"chrX",48617194,48617364,"non_Functional",7.49252693952375e-09
"chrX",48617365,48617480,"non_Functional",1.65405191281311e-07
"chrX",48617481,48617637,"non_Functional",0.000265170414911975
"chrX",48617638,48617749,"non_Functional",2.02796355751782e-05
"chrX",48617750,48617861,"non_Functional",6.22339142562265e-08
"chrX",48617862,48618057,"non_Functional",6.35344553846689e-08
"chrX",48618058,48618169,"non_Functional",7.52917999761336e-08
"chrX",48618170,48618281,"non_Functional",4.80960341669415e-07
"chrX",48618282,48618453,"non_Functional",0.00225534347150479
"chrX",48618454,48618756,"non_Functional",0.000397089406360312
"chrX",48618757,48618873,"non_Functional",3.49316132758227e-07
"chrX",48618874,48619176,"non_Functional",4.3792726745666e-07
"chrX",48619177,48619296,"non_Functional",1.72038190179729e-05
"chrX",48619297,48619418,"non_Functional",5.3206578374251e-05
"chrX",48619419,48619716,"non_Functional",1.55684225331973e-05
"chrX",48619717,48619838,"non_Functional",6.50216111462013e-05
"chrX",48619839,48619940,"non_Functional",0.0011130090914319
"chrX",48619941,48620056,"non_Functional",0.000176557400977549
"chrX",48620057,48620212,"non_Functional",5.13742168441729e-05
"chrX",48620213,48620335,"non_Functional",8.62395391210855e-11
"chrX",48620336,48620444,"non_Functional",7.81786978074617e-11
"chrX",48620445,48620550,"non_Functional",4.59031052358406e-11
"chrX",48620551,48620699,"non_Functional",6.32087510377927e-11
"chrX",48620700,48620831,"non_Functional",1.28702414911232e-06
"chrX",48620832,48620938,"non_Functional",0.000363784111664392
"chrX",48621083,48621332,"non_Functional",7.28981767519856e-10
"chrX",48621333,48621502,"non_Functional",1.93535095145665e-11
"chrX",48621503,48621752,"non_Functional",5.47466223654845e-12
"chrX",48621753,48622004,"non_Functional",4.11841425869655e-05
"chrX",48622005,48622416,"non_Functional",2.0102723404552e-05
"chrX",48622417,48622798,"non_Functional",1.72514967192207e-09
"chrX",48622799,48622900,"non_Functional",5.0876323682424e-11
"chrX",48622901,48623208,"non_Functional",5.39251936766479e-07
"chrX",48623209,48623337,"non_Functional",6.80264042525e-08
"chrX",48623338,48623628,"non_Functional",4.27386367140801e-06
"chrX",48623629,48623757,"non_Functional",1.31851184026368e-05
"chrX",48623758,48623932,"non_Functional",5.8950113558468e-07
"chrX",48623933,48624274,"non_Functional",9.71476499354616e-10
"chrX",48624275,48624407,"non_Functional",2.72699870414137e-09
"chrX",48624408,48624724,"non_Functional",1.29456931167092e-05
"chrX",48624725,48624843,"non_Functional",8.2961071600978e-05
"chrX",48625047,48625225,"non_Functional",9.38984296978152e-07
"chrX",48625226,48625466,"non_Functional",4.09234371376121e-07
"chrX",48625467,48625645,"non_Functional",1.37700594835942e-06
"chrX",48625764,48626161,"non_Functional",0.00173131527566317
"chrX",48626162,48626430,"non_Functional",0.0038649041730451
"chrX",48626431,48626581,"FS 5",0.810251002508482
"chrX",48626582,48626698,"FS 5",0.137755107686889
"chrX",48626699,48626850,"non_Functional",0.00229602112713143
"chrX",48626851,48627090,"non_Functional",0.00136560556807922
"chrX",48627091,48627369,"non_Functional",0.00061324962268388
"chrX",48627370,48627789,"non_Functional",2.03348056899964e-06
"chrX",48627790,48628144,"non_Functional",6.52791310974473e-06
"chrX",48628145,48628531,"non_Functional",7.12848246488369e-05
"chrX",48628532,48628635,"non_Functional",1.38374716232101e-05
"chrX",48628636,48628765,"non_Functional",1.3544069173071e-07
"chrX",48628766,48628951,"non_Functional",2.21627646982675e-07
"chrX",48628952,48629055,"non_Functional",2.76582337412633e-07
"chrX",48629056,48629174,"non_Functional",3.3136060266574e-05
"chrX",48629175,48629276,"non_Functional",0.00334212063730052
"chrX",48629277,48629386,"non_Functional",0.000725223558700654
"chrX",48629387,48629494,"non_Functional",0.000182341469971313
"chrX",48629495,48629634,"non_Functional",0.000546406907845263
"chrX",48629635,48629785,"non_Functional",0.000455960572056652
"chrX",48629786,48630858,"non_Functional",0.000222066108413522
"chrX",48630859,48631011,"non_Functional",1.09091409585333e-08
"chrX",48631012,48631278,"non_Functional",4.74440110765875e-09
"chrX",48631279,48631431,"non_Functional",2.79070545910557e-08
"chrX",48631432,48631539,"non_Functional",1.02465387898791e-06
"chrX",48631540,48631646,"non_Functional",4.43043850437868e-10
"chrX",48631647,48631772,"non_Functional",1.03849136766755e-13
"chrX",48631773,48631938,"non_Functional",6.86456842763548e-19
"chrX",48631939,48632066,"non_Functional",1.87088604847071e-19
"chrX",48632067,48632192,"non_Functional",4.05285914790859e-17
"chrX",48632193,48632384,"non_Functional",4.18842451217557e-14
"chrX",48632385,48632498,"non_Functional",2.49025882511842e-10
"chrX",48632499,48632811,"non_Functional",6.42192113840655e-11
"chrX",48632812,48632918,"non_Functional",3.12828754483066e-07
"chrX",48632919,48633092,"non_Functional",1.54737561439324e-07
"chrX",48633093,48633208,"non_Functional",1.69987861003202e-13
"chrX",48633209,48633317,"non_Functional",3.31934807906797e-14
"chrX",48633318,48633512,"non_Functional",5.88628225504758e-16
"chrX",48633513,48633628,"non_Functional",1.59757569428141e-13
"chrX",48633629,48633737,"non_Functional",2.7233740573754e-06
"chrX",48633738,48634014,"non_Functional",2.82317171371703e-05
"chrX",48634015,48634283,"non_Functional",1.3412392523856e-06
"chrX",48634284,48634434,"non_Functional",5.90002383778183e-09
"chrX",48634435,48634557,"non_Functional",3.50554058648042e-09
"chrX",48634558,48634703,"non_Functional",3.04012449525073e-10
"chrX",48634704,48634916,"non_Functional",5.25173695836017e-09
"chrX",48634917,48635051,"non_Functional",8.34675828376544e-07
"chrX",48635052,48635341,"non_Functional",6.11216832642549e-05
"chrX",48635342,48635452,"non_Functional",1.90254912516633e-05
"chrX",48635453,48635595,"non_Functional",6.61365309553272e-08
"chrX",48635596,48635745,"non_Functional",2.39107513202403e-09
"chrX",48635746,48635872,"non_Functional",9.484806705053e-10
"chrX",48635873,48636015,"non_Functional",1.51082260413025e-09
"chrX",48636016,48636165,"non_Functional",6.31837218076297e-07
"chrX",48636166,48636323,"non_Functional",5.69144760524224e-06
"chrX",48636547,48636672,"non_Functional",2.42868515303472e-05
"chrX",48636673,48636966,"non_Functional",8.10627691010079e-06
"chrX",48636967,48637092,"non_Functional",5.42169916925892e-05
"chrX",48637811,48638230,"non_Functional",0.000220131588222152
"chrX",48639554,48639720,"non_Functional",8.2336950229548e-05
"chrX",48639721,48639856,"non_Functional",2.99801164901795e-05
"chrX",48639857,48639973,"non_Functional",6.40485434162297e-06
"chrX",48639974,48640140,"non_Functional",4.98621572091521e-06
"chrX",48640141,48640256,"non_Functional",3.73682234818898e-05
"chrX",48640257,48640639,"non_Functional",2.12430822637034e-05
"chrX",48640640,48640907,"non_Functional",0.000190804129365379
"chrX",48640908,48641059,"non_Functional",0.0035479952548109
"chrX",48641060,48641176,"non_Functional",0.0293602725928544
"chrX",48641177,48641327,"non_Functional",0.0533534104745918
"chrX",48641328,48641515,"FS 2",0.475798329135129
"chrX",48641516,48641622,"FS 2",0.9985090024017
"chrX",48641623,48641749,"FS 2",0.607232259896507
"chrX",48641750,48641935,"FS 2",0.289815997708447
"chrX",48641936,48642169,"FS 2",0.220337487337023
"chrX",48642170,48642882,"FS 2",0.163959507514882
"chrX",48642883,48642983,"FS 2",1
"chrX",48642984,48643248,"FS 0",1
"chrX",48643249,48643354,"FS 0",1
"chrX",48643355,48643509,"FS 0",1
"chrX",48643510,48643618,"FS 0",1
"chrX",48643619,48643728,"FS 0",1
"chrX",48643729,48643832,"FS 0",1
"chrX",48643833,48643939,"FS 0",1
"chrX",48643940,48644064,"FS 0",1
"chrX",48644065,48644206,"FS 0",1
"chrX",48644207,48644437,"FS 0",1
"chrX",48644438,48644548,"FS 0",1
"chrX",48644549,48644710,"FS 0",1
"chrX",48644711,48644812,"FS 0",1
"chrX",48644813,48644913,"FS 0",1
"chrX",48644914,48645063,"FS 0",1
"chrX",48645064,48645191,"FS 0",1
"chrX",48645192,48645294,"FS 0",1
"chrX",48645295,48645399,"FS 0",1
"chrX",48645400,48645523,"FS 0",1
"chrX",48645524,48645694,"FS 0",1
"chrX",48645695,48645817,"FS 0",1
"chrX",48645818,48645918,"FS 0",1
"chrX",48645919,48646036,"FS 0",1
"chrX",48646037,48646144,"FS 0",1
"chrX",48646145,48646337,"FS 0",1
"chrX",48646338,48646456,"FS 0",1
"chrX",48646457,48646567,"FS 0",1
"chrX",48646568,48646753,"FS 0",1
"chrX",48646754,48646892,"FS 3",0.15403369801319
"chrX",48646893,48646997,"FS 3",0.229803969736836
"chrX",48646998,48647173,"FS 3",0.321480999736925
"chrX",48647174,48647312,"FS 3",0.80517199252869
"chrX",48647313,48647432,"FS 3",0.808047310320157
"chrX",48647433,48647799,"FS 3",0.808064225323446
"chrX",48647800,48647985,"FS 3",0.825178796393647
"chrX",48647986,48648100,"FS 3",0.843652582450929
"chrX",48648101,48648219,"non_Functional",0.0622166692996012
"chrX",48648220,48648348,"FS 3",0.179511620702694
"chrX",48648349,48648477,"FS 3",0.178248728528204
"chrX",48648478,48648768,"FS 3",0.177919060106888
"chrX",48649058,48649284,"FS 3",0.179251489983222
"chrX",48649285,48649385,"FS 3",0.18063889316205
"chrX",48649386,48649495,"FS 3",0.182675016668944
"chrX",48649496,48649600,"FS 3",0.186940557787807
"chrX",48649601,48649704,"non_Functional",0.00618790822939534
"chrX",48649705,48649805,"non_Functional",1.66541084576242e-05
"chrX",48649806,48649915,"non_Functional",6.64917449987486e-09
"chrX",48649916,48650020,"non_Functional",3.37075338283524e-10
"chrX",48650021,48650122,"non_Functional",4.63718540943511e-16
"chrX",48650123,48650235,"non_Functional",4.57652512407043e-17
