chrom	start	end	genomeScore	label
chrX	48603225	48603250	0.12	H3K27ac
chrX	48603250	48603425	1	H3K27ac
chrX	48603425	48603450	0.88	H3K27ac
chrX	48603450	48603475	1.08	H3K27ac
chrX	48603475	48603575	2	H3K27ac
chrX	48603575	48603600	2.44	H3K27ac
chrX	48603600	48603625	3.76	H3K27ac
chrX	48603625	48603650	3.12	H3K27ac
chrX	48603650	48603675	2.48	H3K27ac
chrX	48603675	48603775	2	H3K27ac
chrX	48603775	48603800	0.92	H3K27ac
chrX	48603800	48603825	0.12	H3K27ac
chrX	48603825	48604000	1	H3K27ac
chrX	48604000	48604025	0.44	H3K27ac
chrX	48604150	48604175	0.64	H3K27ac
chrX	48604175	48604225	1	H3K27ac
chrX	48604225	48604275	2	H3K27ac
chrX	48604275	48604300	2.4	H3K27ac
chrX	48604300	48604325	3	H3K27ac
chrX	48604325	48604350	2.92	H3K27ac
chrX	48604350	48604375	2.32	H3K27ac
chrX	48604375	48604400	3	H3K27ac
chrX	48604400	48604425	2.56	H3K27ac
chrX	48604425	48604475	2	H3K27ac
chrX	48604475	48604500	1.16	H3K27ac
chrX	48604500	48604550	1	H3K27ac
chrX	48604550	48604575	0.24	H3K27ac
chrX	48604625	48604650	0.56	H3K27ac
chrX	48604650	48604675	1.32	H3K27ac
chrX	48604675	48604700	6.4	H3K27ac
chrX	48604700	48604775	8	H3K27ac
chrX	48604775	48604825	9	H3K27ac
chrX	48604825	48604850	8	H3K27ac
chrX	48604850	48604875	5.8	H3K27ac
chrX	48604875	48604900	1.4	H3K27ac
chrX	48604900	48604950	1	H3K27ac
chrX	48604950	48604975	0.56	H3K27ac
chrX	48605000	48605025	0.84	H3K27ac
chrX	48605025	48605175	1	H3K27ac
chrX	48605175	48605200	0.72	H3K27ac
chrX	48605650	48605675	3.12	H3K27ac
chrX	48605675	48605825	4	H3K27ac
chrX	48605825	48605850	3.12	H3K27ac
chrX	48605875	48605900	0.44	H3K27ac
chrX	48605900	48605925	1	H3K27ac
chrX	48605925	48605950	1.28	H3K27ac
chrX	48605950	48606000	2	H3K27ac
chrX	48606000	48606025	2.52	H3K27ac
chrX	48606025	48606050	3	H3K27ac
chrX	48606050	48606075	3.56	H3K27ac
chrX	48606075	48606100	4.12	H3K27ac
chrX	48606100	48606125	4.72	H3K27ac
chrX	48606125	48606150	5.28	H3K27ac
chrX	48606150	48606200	5	H3K27ac
chrX	48606200	48606225	4.04	H3K27ac
chrX	48606225	48606250	4	H3K27ac
chrX	48606250	48606275	2.56	H3K27ac
chrX	48606275	48606300	1.96	H3K27ac
chrX	48606300	48606325	0.44	H3K27ac
chrX	48606325	48606350	0.04	H3K27ac
chrX	48606350	48606525	1	H3K27ac
chrX	48606525	48606550	0.52	H3K27ac
chrX	48606900	48606925	0.44	H3K27ac
chrX	48606925	48607050	1	H3K27ac
chrX	48607050	48607075	1.8	H3K27ac
chrX	48607075	48607125	4.12	H3K27ac
chrX	48607125	48607150	4.56	H3K27ac
chrX	48607150	48607225	5	H3K27ac
chrX	48607225	48607250	5.24	H3K27ac
chrX	48607250	48607275	4.32	H3K27ac
chrX	48607275	48607325	2	H3K27ac
chrX	48607325	48607425	1	H3K27ac
chrX	48607425	48607450	0.32	H3K27ac
chrX	48607675	48607700	0.76	H3K27ac
chrX	48607700	48607825	1	H3K27ac
chrX	48607825	48607850	1.88	H3K27ac
chrX	48607850	48607875	1.8	H3K27ac
chrX	48607875	48608000	1	H3K27ac
chrX	48608000	48608025	0.68	H3K27ac
chrX	48608050	48608075	1.68	H3K27ac
chrX	48608075	48608225	2	H3K27ac
chrX	48608225	48608250	1.44	H3K27ac
chrX	48608675	48608700	1.08	H3K27ac
chrX	48608700	48608725	3.48	H3K27ac
chrX	48608725	48608850	4	H3K27ac
